Feature Name,Score,P-Value,Class Association
Erysipelothrix rhusiopathiae,2604.0634896347124,0.00e+00,Postmenopause_Case
Escherichia coli,409748.9021909947,0.00e+00,Postmenopause_Case
Ethanoligenens harbinense,12770.43851672001,0.00e+00,Postmenopause_Case
Eubacterium eligens,51180.398541248556,0.00e+00,Postmenopause_Control
Eubacterium limosum,2195.7518279129163,0.00e+00,Postmenopause_Case
Eubacterium rectale,20256.110362535743,0.00e+00,Postmenopause_Control
Fibrobacter succinogenes,1301.3131701004656,5.86e-285,Postmenopause_Control
Finegoldia magna,67.3302061250073,2.30e-16,Postmenopause_Control
Fluviicola taffensis,664.725365753737,1.40e-146,Postmenopause_Case
Fusobacterium nucleatum,131454.679016149,0.00e+00,Postmenopause_Case
Gemmatimonas aurantiaca,6.9997789848670395,8.15e-03,Postmenopause_Control
Haemophilus influenzae,30560.415592211688,0.00e+00,Postmenopause_Control
Haemophilus parainfluenzae,35698.00173646968,0.00e+00,Postmenopause_Control
Haliscomenobacter hydrossis,1643.8428438976712,0.00e+00,Postmenopause_Control
Helicobacter felis,864.8352355370165,4.33e-190,Postmenopause_Control
Heliobacterium modesticaldum,2653.4229379142944,0.00e+00,Postmenopause_Case
Herbaspirillum seropedicae,59.35639758329337,1.32e-14,Postmenopause_Case
Herpetosiphon aurantiacus,269.16525241481867,1.73e-60,Postmenopause_Case
Hippea maritima,4158.322331115887,0.00e+00,Postmenopause_Control
Ilyobacter polytropus,64049.05541795312,0.00e+00,Postmenopause_Case
Isosphaera pallida,827.8867025067693,4.67e-182,Postmenopause_Control
Klebsiella pneumoniae,99115.66440447974,0.00e+00,Postmenopause_Case
Klebsiella variicola,361.01920016647193,1.69e-80,Postmenopause_Control
Lactobacillus sakei,53.22224609028673,2.98e-13,Postmenopause_Control
Lawsonia intracellularis,11798.226669819971,0.00e+00,Postmenopause_Case
Leadbetterella byssophila,487.4484729561815,5.12e-108,Postmenopause_Case
Magnetococcus marinus,1000.9911196442185,1.09e-219,Postmenopause_Control
Mahella australiensis,3332.437862280284,0.00e+00,Postmenopause_Case
Mobiluncus curtisii,1838.5480272224668,0.00e+00,Postmenopause_Case
Moorella thermoacetica,511.9794537987801,2.35e-113,Postmenopause_Case
Mycoplasma gallisepticum,2350.1557862110994,0.00e+00,Postmenopause_Case
Mycoplasma mobile,1293.2617648136015,3.29e-283,Postmenopause_Control
Mycoplasma pulmonis,3740.0709831012055,0.00e+00,Postmenopause_Control
Natranaerobius thermophilus,92.76402209221662,5.89e-22,Postmenopause_Control
Neisseria meningitidis,303.6778951724924,5.21e-68,Postmenopause_Case
Oceanobacillus iheyensis,374.2755332538385,2.19e-83,Postmenopause_Case
Odoribacter splanchnicus,18384.165743998296,0.00e+00,Postmenopause_Case
Orientia tsutsugamushi,41.95910920286817,9.32e-11,Postmenopause_Control
Paenibacillus polymyxa,84.46952935539275,3.90e-20,Postmenopause_Control
Paludibacter propionicigenes,12219.200134404029,0.00e+00,Postmenopause_Case
Parabacteroides distasonis,656.5415014248181,8.44e-145,Postmenopause_Case
Pedobacter heparinus,11.525589193895332,6.86e-04,Postmenopause_Control
Pedobacter saltans,820.6897004461584,1.71e-180,Postmenopause_Case
Petrotoga mobilis,16561.507239925544,0.00e+00,Postmenopause_Control
Polynucleobacter necessarius,530.8813938288597,1.82e-117,Postmenopause_Control
Porphyromonas asaccharolytica,4613.7441694172085,0.00e+00,Postmenopause_Control
Porphyromonas gingivalis,40.12260434304143,2.39e-10,Postmenopause_Control
Prevotella denticola,1310.9961901818415,4.61e-287,Postmenopause_Control
Prevotella melaninogenica,8747.059348537197,0.00e+00,Postmenopause_Case
Prevotella ruminicola,40788.886355876806,0.00e+00,Postmenopause_Control
Pseudogulbenkiania sp. NH8B,372.7078844799398,4.82e-83,Postmenopause_Case
Pusillimonas sp. T7-7,2383.9206844688697,0.00e+00,Postmenopause_Case
Roseburia hominis,15804.811981016808,0.00e+00,Postmenopause_Control
Rubrobacter xylanophilus,13560.422853107812,0.00e+00,Postmenopause_Control
Ruminococcus albus,1643.2533018960837,0.00e+00,Postmenopause_Case
Salmonella enterica,36502.5732727248,0.00e+00,Postmenopause_Case
Selenomonas sputigena,111623.04886126661,0.00e+00,Postmenopause_Control
Slackia heliotrinireducens,1209.5275018252094,5.18e-265,Postmenopause_Control
Sphaerochaeta coccoides,6658.413510898439,0.00e+00,Postmenopause_Case
Sphaerochaeta globus,8.487885459265913,3.58e-03,Postmenopause_Control
Staphylococcus aureus,989.1273619114106,4.15e-217,Postmenopause_Control
Streptococcus gallolyticus,177.55547405399784,1.66e-40,Postmenopause_Control
Streptococcus gordonii,6417.41015667146,0.00e+00,Postmenopause_Case
Streptococcus mitis,1044.4364776173834,3.94e-229,Postmenopause_Case
Streptococcus mutans,982.0052963221038,1.46e-215,Postmenopause_Case
Streptococcus oralis,5042.332737861242,0.00e+00,Postmenopause_Case
Streptococcus parasanguinis,439.30678374436275,1.53e-97,Postmenopause_Control
Streptococcus pneumoniae,1915.9514014975096,0.00e+00,Postmenopause_Case
Streptococcus pseudopneumoniae,226.04293951257532,4.35e-51,Postmenopause_Case
Streptococcus pyogenes,2655.9121279763713,0.00e+00,Postmenopause_Control
Streptococcus salivarius,5337.969491225491,0.00e+00,Postmenopause_Control
Streptococcus sanguinis,3142.0961715668227,0.00e+00,Postmenopause_Case
Streptococcus suis,1464.4169831817871,0.00e+00,Postmenopause_Case
Streptococcus thermophilus,2696.1135980520176,0.00e+00,Postmenopause_Control
Sulfobacillus acidophilus,146.81423832162227,8.62e-34,Postmenopause_Control
Syntrophobotulus glycolicus,143.11461272280582,5.55e-33,Postmenopause_Control
Syntrophomonas wolfei,314.8150836151301,1.95e-70,Postmenopause_Control
Syntrophothermus lipocalidus,224.18925519068324,1.10e-50,Postmenopause_Case
Syntrophus aciditrophicus,2760.3354950490793,0.00e+00,Postmenopause_Control
Taylorella equigenitalis,3340.991332150804,0.00e+00,Postmenopause_Control
Thauera sp. MZ1T,1794.5943520801807,0.00e+00,Postmenopause_Control
Thermaerobacter marianensis,764.1135274975302,3.42e-168,Postmenopause_Case
Thermincola potens,8.146178122742128,4.32e-03,Postmenopause_Case
Thermodesulfobacterium sp. OPB45,4468.443091447882,0.00e+00,Postmenopause_Case
Thermodesulfobium narugense,4170.28843994329,0.00e+00,Postmenopause_Control
Thermodesulfovibrio yellowstonii,70556.2867463605,0.00e+00,Postmenopause_Control
Thermosediminibacter oceani,563.615473828427,1.37e-124,Postmenopause_Case
Thiobacillus denitrificans,1390.6870752729915,2.22e-304,Postmenopause_Control
Treponema succinifaciens,48.25713884751508,3.74e-12,Postmenopause_Case
Veillonella parvula,133224.32842330207,0.00e+00,Postmenopause_Case
