Feature Name,Score,P-Value,Class Association
Coriobacterium glomerans,3113.6566943571834,0.00e+00,Premenopause_Control
Cupriavidus taiwanensis,2306.340486410437,0.00e+00,Premenopause_Case
Cyclobacterium marinum,91.7497848430792,9.84e-22,Premenopause_Control
Dechloromonas aromatica,1076.3069287238072,4.66e-236,Premenopause_Control
Desulfarculus baarsii,19404.924800082794,0.00e+00,Premenopause_Control
Desulfitobacterium hafniense,118.32887052744627,1.47e-27,Premenopause_Control
Desulfobulbus propionicus,293.53070522323503,8.46e-66,Premenopause_Case
Desulfotomaculum acetoxidans,71.70262757439531,2.50e-17,Premenopause_Control
Desulfotomaculum carboxydivorans,135.13427503324948,3.09e-31,Premenopause_Control
Desulfotomaculum ruminis,1124.5237433500185,1.54e-246,Premenopause_Control
Desulfovibrio alaskensis,119.89683609791567,6.66e-28,Premenopause_Case
Desulfovibrio desulfuricans,27.555583865525517,1.53e-07,Premenopause_Case
Desulfovibrio vulgaris,143.0759882349438,5.66e-33,Premenopause_Control
Desulfurispirillum indicum,567.2322353950929,2.25e-125,Premenopause_Control
Eggerthella lenta,1971.4768279107614,0.00e+00,Premenopause_Case
Eggerthella sp. YY7918,440.6003093386611,8.01e-98,Premenopause_Control
Elusimicrobium minutum,48092.06713008638,0.00e+00,Premenopause_Control
Erysipelothrix rhusiopathiae,2673.4915736598787,0.00e+00,Premenopause_Case
Escherichia coli,122922.63436356877,0.00e+00,Premenopause_Case
Ethanoligenens harbinense,622.2668790113428,2.40e-137,Premenopause_Control
Eubacterium eligens,19565.885907194424,0.00e+00,Premenopause_Control
Eubacterium limosum,328.05520768502504,2.55e-73,Premenopause_Control
Eubacterium rectale,915.5037362895864,4.18e-201,Premenopause_Control
Fibrobacter succinogenes,214.37867170830648,1.52e-48,Premenopause_Case
Finegoldia magna,6.256270820114798,1.24e-02,Premenopause_Control
Fluviicola taffensis,1358.5949087206159,2.09e-297,Premenopause_Control
Fusobacterium nucleatum,2223.1181386752073,0.00e+00,Premenopause_Control
Gemmatimonas aurantiaca,984.2895367007726,4.67e-216,Premenopause_Control
Haemophilus influenzae,739.1697737044526,9.08e-163,Premenopause_Control
Haemophilus parainfluenzae,337.00091399221424,2.87e-75,Premenopause_Control
Haliscomenobacter hydrossis,1564.9081744245032,0.00e+00,Premenopause_Control
Helicobacter felis,4687.691114603667,0.00e+00,Premenopause_Case
Heliobacterium modesticaldum,1653.523722300985,0.00e+00,Premenopause_Control
Herbaspirillum seropedicae,27.485997859090695,1.58e-07,Premenopause_Case
Herpetosiphon aurantiacus,281.3745303983152,3.77e-63,Premenopause_Control
Hippea maritima,10798.958490243225,0.00e+00,Premenopause_Control
Ilyobacter polytropus,1502.4279794087565,0.00e+00,Premenopause_Control
Isosphaera pallida,188.4061591736949,7.08e-43,Premenopause_Control
Klebsiella pneumoniae,5429.686370441527,0.00e+00,Premenopause_Case
Lactobacillus sakei,53.987951945730174,2.02e-13,Premenopause_Case
Lactobacillus salivarius,42.07045814087982,8.80e-11,Premenopause_Control
Lactococcus garvieae,121051.96286051368,0.00e+00,Premenopause_Case
Lactococcus lactis,2483.226942636319,0.00e+00,Premenopause_Case
Lawsonia intracellularis,768.0779217856536,4.71e-169,Premenopause_Control
Leadbetterella byssophila,196.04085140570606,1.53e-44,Premenopause_Case
Macrococcus caseolyticus,1240.0545973836333,1.20e-271,Premenopause_Case
Magnetococcus marinus,2491.5525147848193,0.00e+00,Premenopause_Control
Mahella australiensis,14253.765677228257,0.00e+00,Premenopause_Control
Moorella thermoacetica,103.56526587138737,2.52e-24,Premenopause_Case
Mycoplasma gallisepticum,13514.554383786235,0.00e+00,Premenopause_Control
Mycoplasma mobile,1412.5586015365025,3.92e-309,Premenopause_Case
Mycoplasma pulmonis,19469.91496265842,0.00e+00,Premenopause_Case
Natranaerobius thermophilus,322.0038706528958,5.30e-72,Premenopause_Control
Neisseria meningitidis,1858.4108824672203,0.00e+00,Premenopause_Case
Oceanobacillus iheyensis,29.879619476987536,4.60e-08,Premenopause_Case
Odoribacter splanchnicus,16591.942323568575,0.00e+00,Premenopause_Control
Orientia tsutsugamushi,966.3098316471905,3.78e-212,Premenopause_Control
Paenibacillus polymyxa,78.74555309409882,7.06e-19,Premenopause_Control
Paludibacter propionicigenes,2804.969759024266,0.00e+00,Premenopause_Control
Parabacteroides distasonis,7793.932823227338,0.00e+00,Premenopause_Case
Pedobacter saltans,361.17079328093223,1.57e-80,Premenopause_Control
Polynucleobacter necessarius,2182.883234402589,0.00e+00,Premenopause_Control
Porphyromonas asaccharolytica,527.3673740641543,1.06e-116,Premenopause_Case
Porphyromonas gingivalis,0.6448711972252543,4.22e-01,Not Significant
Prevotella denticola,95.0857962827966,1.82e-22,Premenopause_Control
Prevotella melaninogenica,84812.98937682336,0.00e+00,Premenopause_Control
Prevotella ruminicola,60513.38792076441,0.00e+00,Premenopause_Control
Pseudogulbenkiania sp. NH8B,20.01869976294488,7.67e-06,Premenopause_Control
Pusillimonas sp. T7-7,165.03010066189205,9.01e-38,Premenopause_Control
Roseburia hominis,5751.5387225408795,0.00e+00,Premenopause_Case
Rubrobacter xylanophilus,5102.5251898810475,0.00e+00,Premenopause_Case
Ruminococcus albus,5482.278104570286,0.00e+00,Premenopause_Control
Salmonella enterica,983.259637798968,7.82e-216,Premenopause_Case
Selenomonas sputigena,8304.136886050412,0.00e+00,Premenopause_Case
Sphaerochaeta coccoides,31.038967662808403,2.53e-08,Premenopause_Case
Staphylococcus aureus,2321.3193546361827,0.00e+00,Premenopause_Control
Streptococcus gordonii,6.31464238042729,1.20e-02,Premenopause_Case
Streptococcus mutans,4.404216857620347,3.59e-02,Premenopause_Control
Streptococcus oralis,9.740241007229674,1.80e-03,Premenopause_Case
Streptococcus parasanguinis,4.290962253570692,3.83e-02,Premenopause_Control
Streptococcus pneumoniae,22.363070287589906,2.26e-06,Premenopause_Control
Streptococcus pseudopneumoniae,89.2921258011798,3.41e-21,Premenopause_Case
Streptococcus pyogenes,90.30072259669124,2.05e-21,Premenopause_Case
Streptococcus salivarius,579.615645105513,4.55e-128,Premenopause_Control
Streptococcus sanguinis,371.3796989643305,9.37e-83,Premenopause_Case
Streptococcus suis,426.04556735175527,1.18e-94,Premenopause_Case
Streptococcus thermophilus,2648.1638835724398,0.00e+00,Premenopause_Control
Syntrophobotulus glycolicus,689.87772296,4.75e-152,Premenopause_Control
Syntrophomonas wolfei,16.050903930552195,6.17e-05,Premenopause_Control
Syntrophothermus lipocalidus,496.5984278399999,5.23e-110,Premenopause_Control
Syntrophus aciditrophicus,305.12489446972234,2.52e-68,Premenopause_Control
Taylorella equigenitalis,4357.069028145165,0.00e+00,Premenopause_Control
Thauera sp. MZ1T,462.7626370339698,1.20e-102,Premenopause_Case
Thermincola potens,208.12255703235894,3.53e-47,Premenopause_Control
Thermodesulfobacterium sp. OPB45,1991.8965746418612,0.00e+00,Premenopause_Control
Thermodesulfobium narugense,3463.4883127825324,0.00e+00,Premenopause_Control
Thermodesulfovibrio yellowstonii,28402.50196695945,0.00e+00,Premenopause_Control
Thermosediminibacter oceani,2790.2946435974727,0.00e+00,Premenopause_Case
Treponema succinifaciens,156.76081136047816,5.77e-36,Premenopause_Control
Veillonella parvula,23068.813142565334,0.00e+00,Premenopause_Control
Weissella koreensis,540.7010621599999,1.33e-119,Premenopause_Control
